run_label,prompt_id,prompt,target_text,camera_index,returncode,session_dir,run_total_s,placement_total_including_gen_s,placement_total_excluding_gen_s,gemini_total_s,hunyuan_total_s,optimization_total_s,clip_directional_similarity_pre,clip_text_directional_similarity_pre,dino_similarity_pre,background_ssim_pre,clip_directional_similarity_post,clip_text_directional_similarity_post,dino_similarity_post,background_ssim_post,eval_available,eval_pre_errors,eval_post_errors,error
run_01_baseline,baseline,"no added object, keep the scene unchanged",A real-estate scene,11,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_192903,38.00036311149597,,,3.147125244140625e-05,,,,,,,,,,,False,,,
run_02_car_center_red,car_center_red,a red car parked in the middle of the scene,A real-estate scene with a red car parked in the middle,2,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_192941,238.3518283367157,237.74422216415405,237.74418830871582,1.9311904907226562e-05,1.4543533325195312e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_03_car_left_blue,car_left_blue,a compact blue car on the left side near the walkway,A real-estate scene with a compact blue car on the left side,1,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_193421,235.62463903427124,234.92703700065613,234.927006483078,1.9550323486328125e-05,1.0967254638671875e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_04_car_right_white,car_right_white,a white car placed on the right side of the courtyard,A real-estate scene with a white car on the right side,12,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_193857,243.31240892410278,242.52311420440674,242.5227906703949,0.00030875205993652344,1.4781951904296875e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_05_bench_modern,bench_modern,a modern wooden bench near the central open area,A real-estate scene with a modern wooden bench,5,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_194345,250.25099754333496,249.57757353782654,249.57712364196777,0.0003521442413330078,9.775161743164062e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_06_bench_long,bench_long,a long minimalist bench near the garden edge,A real-estate scene with a long minimalist bench,4,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_194836,250.62924695014954,246.7905888557434,246.78944373130798,0.0007641315460205078,0.0003809928894042969,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_07_planter_green,planter_green,a large green planter with foliage near the front,A real-estate scene with a large green planter,4,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_195326,253.60575938224792,252.75018286705017,252.75014925003052,2.0742416381835938e-05,1.2874603271484375e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_08_chair_white,chair_white,a white lounge chair near the right side,A real-estate scene with a white lounge chair,3,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_195819,236.7264528274536,235.85789465904236,235.8578643798828,1.7404556274414062e-05,1.2874603271484375e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_09_chair_black,chair_black,a black lounge chair near the seating area,A real-estate scene with a black lounge chair,12,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_200258,235.4821503162384,234.85832571983337,234.85829424858093,2.002716064453125e-05,1.1444091796875e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_10_table_round,table_round,a round coffee table beside the seating area,A real-estate scene with a round coffee table,2,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_200738,199.31645560264587,198.42273998260498,198.42269945144653,2.86102294921875e-05,1.1920928955078125e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_11_sofa_gray,sofa_gray,a gray two-seater sofa close to the center,A real-estate scene with a gray two-seater sofa,11,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_201137,233.1053822040558,232.4873104095459,232.48719549179077,0.00010275840759277344,1.2159347534179688e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_12_vase_decor,vase_decor,a decorative ceramic vase near the bench,A real-estate scene with a decorative ceramic vase,12,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_201611,209.99269461631775,209.1194453239441,209.11940908432007,2.6702880859375e-05,9.5367431640625e-06,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_13_lamp_floor,lamp_floor,a tall floor lamp near the corner of the room,A real-estate scene with a tall floor lamp,15,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_202025,232.9734606742859,232.37379384040833,232.37375855445862,2.0265579223632812e-05,1.5020370483398438e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
